Volts,nA
50,0.037
49.9,0.035
49.8,0.033
49.7,0.032
49.6,0.03
49.5,0.03
49.4,0.028
49.3,0.028
49.2,0.027
49.1,0.027
49,0.026
48.9,0.026
48.8,0.026
48.7,0.027
48.6,0.027
48.5,0.027
48.4,0.028
48.3,0.028
48.2,0.029
48.1,0.03
48,0.03
47.9,0.031
47.8,0.032
47.7,0.032
47.6,0.033
47.5,0.034
47.4,0.034
47.3,0.035
47.2,0.036
47.1,0.036
47,0.037
46.9,0.037
46.8,0.037
46.7,0.038
46.6,0.038
46.5,0.038
46.4,0.037
46.3,0.036
46.2,0.035
46.1,0.035
46,0.034
45.9,0.033
45.8,0.032
45.7,0.032
45.6,0.03
45.5,0.029
45.4,0.027
45.3,0.026
45.2,0.025
45.1,0.023
45,0.022
44.9,0.021
44.8,0.02
44.7,0.019
44.6,0.017
44.5,0.017
44.4,0.016
44.3,0.015
44.2,0.015
44.1,0.015
44,0.014
43.9,0.014
43.8,0.014
43.7,0.015
43.6,0.015
43.5,0.015
43.4,0.016
43.3,0.016
43.2,0.017
43.1,0.018
43,0.019
42.9,0.019
42.8,0.02
42.7,0.021
42.6,0.022
42.5,0.023
42.4,0.02428
42.3,0.02499
42.2,0.02585
42.1,0.02687
42,0.02791
41.9,0.02872
41.8,0.02961
41.7,0.03058
41.6,0.03164
41.5,0.03206
41.4,0.03265
41.3,0.03284
41.2,0.03293
41.1,0.03244
41,0.03208
40.9,0.03163
40.8,0.0305
40.7,0.03003
40.6,0.02899
40.5,0.02755
40.4,0.02647
40.3,0.02515
40.2,0.02395
40.1,0.02237
40,0.02091
39.9,0.0195
39.8,0.01768
39.7,0.01642
39.6,0.01551
39.5,0.01443
39.4,0.01334
39.3,0.0125
39.2,0.01187
39.1,0.01102
39,0.01058
38.9,0.01013
38.8,0.01005
38.7,0.00976
38.6,0.00954
38.5,0.00964
38.4,0.00977
38.3,0.01006
38.2,0.01053
38.1,0.0109
38,0.01135
37.9,0.01183
37.8,0.01244
37.7,0.01331
37.6,0.01424
37.5,0.01526
37.4,0.01631
37.3,0.01729
37.2,0.0185
37.1,0.01961
37,0.02102
36.9,0.0224
36.8,0.02348
36.7,0.02454
36.6,0.02568
36.5,0.02664
36.4,0.02734
36.3,0.02785
36.2,0.02829
36.1,0.02847
36,0.02852
35.9,0.02798
35.8,0.02742
35.7,0.02684
35.6,0.02572
35.5,0.02453
35.4,0.02318
35.3,0.02173
35.2,0.02034
35.1,0.01891
35,0.01742
34.9,0.01603
34.8,0.01472
34.7,0.01345
34.6,0.01224
34.5,0.01121
34.4,0.01034
34.3,0.00954
34.2,0.00906
34.1,0.00834
34,0.00754
33.9,0.007
33.8,0.00662
33.7,0.00621
33.6,0.006
33.5,0.00594
33.4,0.006
33.3,0.006
33.2,0.00602
33.1,0.00621
33,0.00583
32.9,0.00654
32.8,0.00718
32.7,0.00789
32.6,0.00874
32.5,0.00933
32.4,0.01036
32.3,0.01138
32.2,0.01256
32.1,0.01378
32,0.01499
31.9,0.01618
31.8,0.01734
31.7,0.01884
31.6,0.02035
31.5,0.02183
31.4,0.02287
31.3,0.02387
31.2,0.02458
31.1,0.02489
31,0.02496
30.9,0.02498
30.8,0.02455
30.7,0.02402
30.6,0.02404
30.5,0.02194
30.4,0.0207
30.3,0.01928
30.2,0.01792
30.1,0.01654
30,0.01508
29.9,0.01423
29.8,0.01316
29.7,0.01011
29.6,0.0088
29.5,0.008
29.4,0.0079
29.3,0.0071
29.2,0.0065
29.1,0.0061
29,0.00556
28.9,0.00505
28.8,0.00479
28.7,0.00454
28.6,0.00445
28.5,0.00429
28.4,0.00421
28.3,0.00423
28.2,0.00435
28.1,0.00448
28,0.00474
27.9,0.00512
27.8,0.00551
27.7,0.00604
27.6,0.00627
27.5,0.00663
27.4,0.00813
27.3,0.00904
27.2,0.01044
27.1,0.01183
27,0.01245
26.9,0.01336
26.8,0.01585
26.7,0.01767
26.6,0.01923
26.5,0.02019
26.4,0.02133
26.3,0.02206
26.2,0.02245
26.1,0.02326
26,0.02363
25.9,0.0232
25.8,0.02304
25.7,0.02205
25.6,0.02089
25.5,0.0196
25.4,0.01813
25.3,0.01694
25.2,0.01596
25.1,0.01417
25,0.01207
24.9,0.01095
24.8,0.00998
24.7,0.00883
24.6,0.00787
24.5,0.00704
24.4,0.00642
24.3,0.00567
24.2,0.00505
24.1,0.00457
24,0.00419
23.9,0.0037
23.8,0.00334
23.7,0.00319
23.6,0.00298
23.5,0.0029
23.4,0.00294
23.3,0.00304
23.2,0.00313
23.1,0.00335
23,0.00364
22.9,0.00398
22.8,0.00433
22.7,0.00479
22.6,0.00543
22.5,0.00611
22.4,0.00675
22.3,0.00741
22.2,0.00834
22.1,0.0094
22,0.01059
21.9,0.01183
21.8,0.01318
21.7,0.01434
21.6,0.01539
21.5,0.01646
21.4,0.01735
21.3,0.01818
